funding,rounds,status
375000,3,1
40100000,4,1
2600000,1,1
40000000,3,1
1300000,2,0
7500000,1,0
26000000,3,1
34100000,3,1
9650000,3,1
5750000,3,1
27500000,3,1
10400000,5,0
350000,1,0
9950000,3,1
10700000,5,1
200000,1,0
49000000,5,0
25000000,4,1
4575000,3,1
28000000,2,0
4355000,2,1
15000000,1,0
3170000,1,0
2300000,2,0
455000,2,0
13000000,1,1
15000000,1,1
3800000,1,1
299500000,5,1
1000000,1,1
10500000,2,0
8600000,2,1
5000000,2,0
2304999,2,1
25000,1,0
4000000,1,0
14600000,2,0
44000000,3,0
1822922,3,1
29915001,7,1
33000000,4,1
125000,2,1
4000000,2,0
10000000,1,1
6000000,1,1
25000000,1,1
3750000,3,1
3000000,1,1
1155000,2,1
10000000,1,1
3000000,1,1
11500000,2,1
5000000,1,1
29000000,2,1
34700000,6,1
12050000,2,0
12000000,3,1
5500000,1,1
24000000,3,1
10000000,2,1
19009671,3,0
5000000,1,0
18914576,5,1
4000000,1,0
2030882,3,1
5000000,1,1
20500000,1,0
13250000,2,1
12000000,1,1
11489687,3,1
4000000,1,1
355000,1,1
118000,2,1
40400000,4,1
3000000,1,0
19700000,2,0
17800000,2,0
57500000,3,1
17200000,3,1
457282,7,0
18500000,4,1
12000000,1,0
510000000,2,0
18250000,2,1
41500019,4,1
1000000,1,0
5000000,1,1
42700000,3,0
12000000,1,0
22300000,2,1
10000000,2,1
15564591,3,0
500000,1,1
8950000,2,1
55350000,4,1
4000000,1,0
10764323,5,1
5500000,1,0
400000,1,1
54000000,3,0
32000000,1,0
13000000,1,1
12500000,3,1
38064570,4,1
6000000,2,1
5000000,2,0
59000000,3,1
1000000,1,0
600000,1,1
125000000,2,0
2750000,2,1
30000000,2,1
7000000,1,0
6100000,1,1
2100000,3,0
2565000,2,1
2000000,1,0
22400000,3,1
6250000,1,1
575000,1,1
53000,2,0
9500000,2,1
3500000,2,0
10500000,3,1
34250000,4,1
85381111,5,1
100000000,3,1
125000,2,0
10600000,2,0
26100000,3,1
30000000,1,1
132885,3,0
9500000,3,1
18000000,1,1
690000,1,0
25131611,3,1
2000000,1,0
78750000,3,1
48500000,5,1
15000000,1,0
74000000,5,1
15000000,2,1
45000000,3,0
4410000,1,1
4500000,2,1
11040000,3,1
1600000,1,1
9000000,2,1
3282327,3,1
24700000,2,1
8800000,2,0
1700000,1,0
20000,1,0
11500000,2,1
98170000,7,0
1350000,1,1
940261,1,1
4000000,2,1
5000000,1,0
20000,1,0
12500000,1,1
7228704,5,0
55000000,2,0
15180000,4,1
30000000,2,0
14500000,2,1
6500000,1,1
15000,1,0
4705910,5,1
3000000,1,1
125250000,6,1
1449998,4,0
6000000,2,1
28200000,3,1
14000000,2,1
3000000,1,0
2238055,2,0
5200000,2,0
75000000,1,1
24500000,4,0
4476171,3,0
10400001,3,1
68400000,3,1
15200000,2,1
890000,2,0
2600000,1,0
1226270,1,1
9000000,2,1
7210210,4,1
15700000,2,1
15050000,2,1
3500000,2,1
43000000,2,0
57000000,2,1
1300000,1,1
69750000,4,1
14500000,2,1
48000000,2,0
3508462,2,0
19500000,3,1
3750000,1,1
45000000,1,0
32500000,4,0
4900000,2,1
12000000,2,0
7175000,3,1
4700000,2,0
120000,1,0
10000000,3,1
39000000,4,0
16100000,2,1
3300000,2,1
750000,1,1
1000000,2,0
7410000,1,0
52800000,3,1
37000000,3,0
14229998,3,1
3000000,2,1
20000000,1,1
2000000,2,1
19900000,2,1
1500000,1,0
325000,1,0
3500000,1,0
30000000,4,0
50000000,1,1
2000000,1,1
72000000,6,1
27690547,3,1
9000000,1,0
7500000,2,1
10000000,2,1
5965000,4,1
4000000,1,1
5000000,1,0
11500000,1,1
1050000,2,0
5500000,2,1
5000000,3,1
3700000,2,0
7000000,2,0
32000000,2,0
7900000,3,1
80000000,5,1
5000000,1,0
2100000,2,1
22250000,4,1
1975000,2,1
1000000,1,1
35000000,1,0
88651133,7,1
26000000,1,1
100000,1,0
5000000,1,1
7300000,2,0
64080000,3,1
5800000,2,1
89500000,4,0
23350000,4,1
13500000,2,1
24500000,2,1
10000000,1,0
8500000,1,0
6000000,1,0
2000000,1,1
4100000,2,1
6200000,1,1
12250000,2,1
11725600,2,1
16000000,2,0
5056559,3,1
100000,1,1
68200000,3,1
33000000,3,1
3352194,3,0
2212000,2,1
19800000,4,1
4500000,2,0
14000000,2,1
100000,1,0
9900000,2,1
7600000,3,1
50000,1,0
650000,1,0
10500000,3,0
500000,1,1
24300000,2,1
18000000,2,0
26000000,3,1
9500000,2,0
16980999,1,1
5000000,1,0
350000,1,0
13130000,5,0
20000000,1,0
26500000,3,1
15000000,2,1
2600000,1,0
21470000,4,0
20000,1,0
3600000,2,0
27300000,7,1
2600000,1,1
5000000,1,0
17000000,2,1
662000,1,0
3750000,2,1
45000000,4,1
6700000,2,1
20750000,3,1
19000000,4,1
22500000,3,1
7300000,3,1
26390819,7,0
10000000,1,1
31000,1,0
21500000,3,1
4000000,1,1
9400000,3,1
5600000,3,1
6000000,2,1
60704370,4,1
2000000,3,1
1000000,2,1
200000,2,0
2300000,1,0
1000000,1,0
24750000,5,1
12800000,2,0
30500000,2,1
36300000,3,0
6693782,3,1
20000000,1,0
11370000,1,1
16500000,3,1
250000,1,0
14400000,5,1
90000000,5,1
13075000,4,1
26000000,2,1
16300000,2,1
5992316,2,1
89400001,4,1
1200000,1,0
1900000,2,0
30300000,3,0
500000,1,0
74000000,5,1
18800000,1,1
20000,1,0
3350000,4,1
26100000,1,1
1213066,2,0
24030000,3,1
13100000,3,1
560001,3,1
3500000,1,1
121500000,7,1
42500000,4,1
36000000,2,1
12170000,1,0
1000000,1,1
1820000,3,1
5700000000,4,1
5000000,1,1
18800000,2,1
72300000,2,1
1310000,3,1
15000000,2,0
39007789,3,1
25000000,1,1
172500,3,1
6100000,2,1
40300000,3,1
100000,1,0
19389998,5,1
61500000,2,1
6000000,1,1
19100000,4,1
3499997,4,1
2600000,3,1
2023000,3,1
25000000,1,1
66000000,4,1
1000000,2,1
13000000,2,1
24150000,3,0
47218498,3,0
11800000,2,1
2387481,2,0
33000000,4,1
7500000,2,1
25000000,1,1
25305000,4,1
4950000,2,1
53816776,6,1
3500000,2,1
5000000,1,1
2515000,3,1
8400000,2,1
4900000,2,0
5000000,1,0
11000000,1,1
68400000,4,1
2000000,2,1
10800000,2,0
37000000,5,1
7660000,1,1
48730000,4,1
3350000,2,0
28000000,4,0
2500000,1,1
8000000,2,1
540000,2,1
3100000,2,1
1200000,2,1
5000000,1,0
37079000,6,1
135826373,4,1
5000000,2,0
4200000,4,1
4100000,1,0
2000000,1,0
6500000,1,1
4000000,1,0
185000,5,0
1300000,1,1
45000000,1,1
2500000,1,1
9200000,2,1
435953,4,0
55600000,2,0
10000000,1,1
12000,1,0
2257464,2,0
983000,2,1
41000000,2,1
9100000,3,0
25500100,3,0
400000,1,1
22165091,10,1
500000,1,1
70000000,5,1
4700000,2,1
30000000,1,1
39000000,5,1
32000000,3,1
42000000,3,1
24510540,3,1
2500000,1,0
21460663,3,1
15000000,1,1
889999,2,0
16000000,1,1
7000000,1,1
100000,2,0
1500000,1,1
8000000,1,1
4000000,2,1
25000,1,0
64630000,6,1
12100000,2,0
20000000,2,1
49600000,4,0
51450000,5,1
6300000,2,1
200000,1,0
20000,1,0
11600000,2,1
9150000,1,1
1200000,1,0
1700000,1,0
1415000,3,1
4200000,2,1
500000,2,1
21500000,1,1
10000000,2,1
9500000,2,0
13875001,2,0
275000,1,0
19743770,3,1
1178000,5,1
25000000,3,1
24150000,3,1
80000000,2,0
36000000,2,1
205000,1,0
28300000,4,1
2000000,1,0
11500000,2,1
4000000,1,0
500000,1,0
4000000,1,0
9030000,2,0
69900000,4,1
20000,1,0
238209999,7,1
14700000,3,1
430000,3,1
1015000,2,1
1200000,1,0
17100000,2,1
50000000,1,1
900000,1,0
6000000,1,0
15100000,2,1
62600000,5,1
14800000,4,1
6875000,2,1
30000,1,0
22200000,1,0
415000,2,1
27063781,4,1
3100000,1,1
33000000,2,0
17400000,3,1
28300000,5,1
46800000,4,1
1525000,3,1
1200000,1,1
12400000,3,1
100000,1,0
11000000,3,1
675000,2,1
13000000,2,1
3500000,1,1
12000000,1,0
78573646,5,1
15286415,3,1
3200000,1,1
30000,1,0
14650003,3,1
23500000,2,1
980000,1,0
20000000,1,0
1500000,1,0
8000000,2,1
25200000,4,1
61000000,4,1
46300000,4,1
24500000,4,1
7500000,2,0
14500000,1,1
29000000,1,0
24000000,3,1
81017493,4,1
1000000,2,1
12010000,2,1
22000000,1,1
42700000,1,0
80000000,3,1
205000,1,1
3750000,1,1
41000000,2,0
76000000,2,1
20000000,2,1
9356180,2,1
100000,1,0
13600000,2,1
3000000,1,1
21138876,5,0
2345000,4,1
4000000,1,0
17000000,2,0
1100000,1,1
59700,4,1
2350000,1,1
10000000,1,0
21189,2,0
28000000,3,1
9500000,1,0
69600000,3,1
23500000,3,1
13000000,1,1
21750000,2,1
5750000,1,0
23400000,2,1
4300000,1,0
20000000,2,1
51000000,2,1
27101994,4,1
6480000,1,1
35000000,2,1
11300000,3,0
19000,1,0
78500000,6,1
600000,1,0
13000000,2,1
43600000,5,0
142000000,5,1
2000000,2,1
26800000,3,1
55900000,6,0
11000000,2,1
31500000,3,1
1500000,1,1
900000,3,0
58000000,3,1
29050000,4,1
250000,2,1
21000000,1,0
35000000,2,1
500000,1,0
30920000,2,1
29288979,4,1
24200000,4,0
1000000,1,1
5550000,2,1
3000000,2,0
14300000,2,1
1000000,1,0
11000000,2,1
2000000,2,0
5000000,2,1
11000000,1,1
14100000,4,1
5000000,1,0
400000,2,0
10000000,1,1
11035000,3,0
12700000,1,1
20757182,2,1
27000000,3,1
10000000,1,1
26000000,1,0
4000000,2,0
20220000,2,1
10000000,1,1
7350000,2,0
50000,1,0
1000000,1,0
45000000,4,0
70000000,5,0
500000,1,0
500000,2,0
44000000,3,1
21000000,1,0
19000000,2,1
18700000,3,0
10000000,1,1
5900000,3,0
28000000,2,1
24300000,7,0
32006000,4,1
13400000,1,1
9400000,3,1
15324624,6,1
2000000,1,1
16000000,3,1
44000000,3,0
1175000,2,0
9000000,2,1
35150000,3,1
12000000,3,1
30000000,1,1
8000000,1,1
4100000,1,1
2408500,2,0
72000000,4,0
18400000,2,0
162264126,7,0
29000000,1,1
8700000,1,0
10000000,1,1
15000000,2,1
2600000,1,0
15000000,1,1
4000000,3,1
73000000,2,1
12123837,4,1
22400000,3,1
5700000,2,1
28500000,2,0
21000000,2,1
8000000,1,0
1500000,1,0
28300000,3,1
7939553,5,1
545000,1,0
15247925,3,1
12800000,3,1
950000,2,0
16000000,2,1
10000000,1,1
1500000,1,1
13000000,2,0
10000000,1,1
3915000,2,1
1400000,2,1
650000,2,0
9700000,3,0
15000000,1,1
38764000,4,1
211403000,8,0
20750000,2,1
1020000,2,1
13000000,1,0
14700000,2,1
33000000,4,1
30000000,1,1
33000000,4,0
150000,1,0
20000,1,0
30926154,3,0
2000000,1,0
19000000,2,0
33000000,3,0
15650000,3,1
17400000,3,1
154000,1,0
35000000,1,0
7516703,4,0
48000000,1,0
65800000,3,1
125000,2,0
750000,1,1
17000000,1,1
4087500,3,0
1000000,1,0
23500000,5,1
990000,1,0
1000000,1,1
41000000,4,1
7000000,1,0
55000000,2,1
69000000,2,1
129677153,8,1
232000100,6,1
5700000,2,1
10500000,1,1
23000000,2,0
14000000,3,1
7500000,2,1
1420000,1,1
9000000,2,0
500000,1,0
70000,2,1
850000,2,0
15000000,1,1
3150000,2,1
5500000,1,0
10571182,1,1
500000,1,0
24900000,7,1
3529175,2,0
23400000,4,1
8800000,1,1
1500000,1,0
74000000,7,0
8800000,3,1
7100000,2,1
3500000,3,1
3000000,1,1
11000,2,0
26200000,3,1
29000000,2,1
10000000,1,0
500000,1,0
11500000,3,1
5350000,5,1
11015719,3,0
9807367,3,1
2535000,2,1
19000000,3,1
475000,3,1
36000000,2,1
12000000,1,1
122000000,4,1
1750000,1,1
130000,1,1
13222860,3,0
2192000,2,0
2000000,1,1
9400000,2,1
13045000,4,1
10000000,4,1
6000000,1,1
2100000,2,0
3250000,2,1
148000000,3,0
24500000,2,1
72000,2,0
10360000,1,0
1310000,3,1
150000,1,0
64000000,3,1
250000,1,0
1830000,3,1
9800000,2,1
2300000,1,1
1310000,2,0
4500000,2,0
22000000,3,1
10000000,3,1
36500000,4,1
33672656,7,1
19000000,3,1
30000000,1,1
2250000,2,1
53818873,6,1
5500000,1,0
6000000,1,1
30150000,2,0
83000000,2,1
12000000,2,0
3500000,2,1
4000000,1,1
4000000,2,0
25000000,2,1
1420698,3,1
10000000,2,1
67000000,3,1
53000000,4,1
300000,2,0
1400000,3,1
6500000,2,1
5000000,1,1
9600000,2,1
58200000,5,1
28000000,3,1
30000000,2,1
3500000,2,1
16700000,1,0
18000000,1,0
15000000,1,1
12000000,2,0
15000,1,0
200000,1,1
15000000,1,0
1400000,2,1
11400000,4,0
34250000,4,1
3800000,4,1
10100000,2,1
4000000,1,0
3011408,1,1
8000000,1,0
12700000,2,1
300000,1,0
5675000,1,1
1000000,1,1
125000,1,0
700000,2,0
532000,2,1
8500000,2,1
9400000,1,1
350000,2,0
12300000,2,1
25413298,5,1
9800000,2,1
1015000,2,0
10000003,5,1
1750000,2,1
100000,1,1
12000000,1,1
11450000,2,1
50000,1,0
20000000,1,0
42500000,2,1
22487000,3,1
7800000,1,1
59000000,4,1
4000000,1,0
71400000,4,1
25500000,3,1
28932322,4,1
35200000,6,1
10000000,2,0
22100000,3,1
33000000,5,1
15000000,1,1
13000000,3,1
12800000,2,1
626096,2,0
20350000,4,1
10000000,1,0
425000,1,1
37891054,3,1
40000000,5,1
5550000,3,1
770000,1,1
19550000,4,0
4000000,2,1
42000000,4,1
1900000,1,0
45039999,3,1
1310000,1,0
3000000,1,1
36000000,4,1
3000000,1,1
1300000,1,0
50000,1,0
6500000,1,1
4600000,2,1
21900000,3,1
240000,1,1
34700000,4,1
33000000,4,1
1800000,2,0
27300000,3,1
6760000,2,0
26914000,3,1
27500000,1,1
9000000,1,0
954000,1,0
53000000,3,1
23100000,4,1
108900000,4,1
55000000,4,1
5686383,2,1
49008830,6,0
32200000,3,1
2000000,1,0
2700000,1,1
2000000,1,0
18000000,3,1
122500000,5,1
1100000,1,1
52000000,3,0
44000000,1,0
15500000,2,1
20000000,1,1
